"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"84","2011-03-25/2011-03-28","2011-03-29","ARIMA(0,0,5) with zero mean",0.00392665506975071,0.00406424445966343,0.00304676846666564,0.00317253457754886,0.999918473295869,0.998852036553266,0.769016621078965,0.0589269632450804,0,1.62493999018987e-08,8.66197863531978e-08
"85","2011-03-26/2011-03-29","2011-03-30","ARIMA(1,0,2) with zero mean",0.00375444791677655,0.00394657564068997,0.00295751796553241,0.00311040709898568,0.722073908262697,0.77595123003491,0.823971837713064,0.749306351712397,0,1.10927420379684e-10,1.75214147254746e-13
"86","2011-03-27/2011-03-30","2011-03-31","ARIMA(3,0,2) with zero mean",0.00381838957794807,0.00399807948907886,0.00304968814809289,0.00317340531646506,0.884810411432956,0.842670944834915,0.913486498527796,0.932708375567534,0,2.00483836822618e-06,3.42060250764804e-10
"87","2011-03-28/2011-03-31","2011-04-01","ARIMA(3,0,2) with zero mean",0.00393370178562243,0.00415018229835527,0.00310512316232885,0.00328435297602952,0.733717118400845,0.844501803305209,0.841578457676354,0.536104640847075,0,1.54742753351953e-10,3.53323408412972e-12
"88","2011-03-29/2011-04-01","2011-04-02","ARIMA(3,0,2) with zero mean",0.00405581192478084,0.00429378248926168,0.00320979909349527,0.0034227800710656,0.154031727555674,0.22457331603261,0.167660835916198,0.151554082857972,6.68039702445e-08,1.03394227034572e-11,2.28658473692654e-12
"89","2011-03-30/2011-04-02","2011-04-03","ARIMA(3,0,2) with zero mean",0.00422632602929123,0.00435805631060233,0.00335929720117329,0.00347627668548698,0.323159786707389,0.311727837991189,0.38797711126558,0.462292239271911,0.00216590729786015,0.000349664382995188,0.000197931918314755
"90","2011-03-31/2011-04-03","2011-04-04","ARIMA(1,0,4) with zero mean",0.00406697220633557,0.00430568944276712,0.00318143757462848,0.003368547394833,0.975814803995892,0.901290819889371,0.669436377211421,0.752654581605207,0.0483110769052979,1.18471307678398e-09,1.87686710308569e-11
"91","2011-04-01/2011-04-04","2011-04-05","ARIMA(2,0,2) with zero mean",0.00389204820793427,0.00416105604124909,0.00302392475041138,0.00322371587881064,0.853184924287062,0.829969511953195,0.794768432444276,0.810483729531393,1.81049249947662e-06,5.20926467139736e-11,2.91007376389139e-13
"92","2011-04-02/2011-04-05","2011-04-06","ARIMA(3,0,2) with zero mean",0.00483163344281586,0.0053278123736039,0.00313363860449504,0.00335474057166346,0.891156019786336,0.829046202907373,0.863067455585504,0.918089826900932,2.08583649241589e-08,8.41384859124482e-09,0.0142062754877039
"93","2011-04-03/2011-04-06","2011-04-07","ARIMA(1,0,4) with zero mean",0.00418416847962257,0.00446174892439993,0.00329189360100707,0.00350693223428748,0.531328016582174,0.000560148914486969,5.55567578386373e-06,6.84218998059372e-06,0,1.01459141575819e-08,3.30657234402847e-09
